"Taxon","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,0,9,1,1,49,98
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,0,17,1,1,124,190
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,0,25,1,1,34,97
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,1,9,1,1,45,99
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,1,17,1,1,126,189
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Spain","SOS228",0,0,1,25,1,1,54,99
"Anthriscus sylvestris","Enscobase","RBGK","France","K_52098",0,1,0,5,0,1,15,20
"Anthriscus sylvestris","Enscobase","RBGK","France","K_52098",0,1,0,16,0,1,30,50
"Anthriscus sylvestris","Enscobase","RBGK","France","K_72562",0,1,0,5,0,1,15,20
"Anthriscus sylvestris","Enscobase","RBGK","France","K_72562",0,1,0,16,0,1,9,10
"Anthriscus sylvestris","Enscobase","RBGK","Germany","K_72517",0,1,0,5,0,1,3,20
"Anthriscus sylvestris","Enscobase","RBGK","Germany","K_72517",0,1,0,16,0,1,7,24
"Anthriscus sylvestris","Enscobase","RBGK","Ireland","K_52179",0,1,0,5,0,1,14,19
"Anthriscus sylvestris","Enscobase","RBGK","Ireland","K_52179",0,1,0,16,0,1,20,43
"Anthriscus sylvestris","Enscobase","RBGK","Norway","K_51839",0,1,0,5,0,1,12,18
"Anthriscus sylvestris","Enscobase","RBGK","Norway","K_51839",0,1,0,16,0,1,6,14
"Anthriscus sylvestris","Enscobase","RBGK","Poland","K_51611",0,1,0,5,0,1,6,20
"Anthriscus sylvestris","Enscobase","RBGK","Poland","K_51611",0,1,0,16,0,1,10,42
"Anthriscus sylvestris","Enscobase","RBGK","Poland","K_72551",0,1,0,16,0,1,14,19
"Anthriscus sylvestris","Enscobase","RBGK","Romania","K_52102",0,1,0,5,0,1,17,20
"Anthriscus sylvestris","Enscobase","RBGK","Romania","K_52102",0,1,0,15,0,1,30,46
"Anthriscus sylvestris","Enscobase","RBGK","Romania","K_52102",0,1,0,16,0,1,41,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_39420",0,1,0,5,0,1,49,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_39420",0,1,0,16,1,1,91,100
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,0,0,6,0,1,52,108
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,0,0,11,0,1,0,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,0,0,16,0,1,0,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,0,0,21,0,1,0,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,1,0,6,0,1,45,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,1,0,11,0,1,34,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,1,0,16,0,1,13,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,1,0,16,1,1,15,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,1,0,21,0,1,9,48
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_49616",0,1,1,11,0,1,46,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_53121",0,1,0,5,0,1,47,50
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_53121",0,1,0,6,0,1,20,20
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_75183",0,1,0,5,0,1,8,19
"Anthriscus sylvestris","Enscobase","RBGK","UK","K_75183",0,1,0,16,0,1,11,20
"Anthriscus sylvestris","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,0,9,1,1,0,97
"Anthriscus sylvestris","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,0,17,1,1,0,66
"Anthriscus sylvestris","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,0,25,1,1,0,84
"Anthriscus sylvestris","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,1,9,1,1,3,100
"Anthriscus sylvestris","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,1,17,1,1,0,56
"Anthriscus sylvestris","SOSPRADERAS","SOSPRADERAS","Spain","SOS164",0,0,1,25,1,1,0,83
"Arenaria serpyllifolia","Enscobase","BGBM","Germany","B_DE-0435407",0,0,0,22,0,1,20,20
"Arenaria serpyllifolia","Enscobase","BGBM","Germany","B_DE-1715099",0,0,0,22,0,1,8,20
"Arenaria serpyllifolia","Enscobase","RBGK","Belgium","K_174662",0,0,0,10,0,1,20,20
"Arenaria serpyllifolia","Enscobase","RBGK","Belgium","K_174662",0,0,0,15,0,1,20,20
"Arenaria serpyllifolia","Enscobase","RBGK","Belgium","K_174662",0,0,0,20,0,1,20,20
"Arenaria serpyllifolia","Enscobase","RBGK","Belgium","K_174662",0,0,0,25,0,1,16,20
"Arenaria serpyllifolia","Enscobase","RBGK","UK","K_111920",0,0,0,20,0,1,10,10
"Arenaria serpyllifolia","Enscobase","RBGK","UK","K_120197",0,0,0,16,0,1,20,20
"Arenaria serpyllifolia","Enscobase","RBGK","UK","K_128171",0,0,0,21,0,1,19,20
"Arrhenatherum elatius","Enscobase","PAVIA","Italy","PAV_4LC",0,0,0,20,0,1,50,50
