"Taxon","Family","Temperature","Alternating","Light","Scarification","Stratification","Seed.mass","Seed.number","bio06","bio14","pH"
"Cerastium fontanum","Caryophyllaceae",17.2476360361458,0.7185954134707,1,0,0,0.128975,3779.30909090909,-2.29380530973451,46.5044247787611,6.58106194690266
"Chaerophyllum aureum","Apiaceae",25,1,1,0,0,8.1,195,-3.8780534351145,50.2700381679389,6.69717557251908
"Convolvulus arvensis","Convolvulaceae",12.9381443298969,0,1,1,0.515463917525773,13.2184166666666,1205.35714285714,0.0881900768693221,32.8756114605171,6.13513626834382
"Crepis capillaris","Compositae",17.871049629037,0.728515606828842,1,0,0,0.25,8000,0.569911504424779,43.5893805309735,5.98023008849558
"Crepis pyrenaica","Compositae",17.3379191366468,1,1,0,0,3.265,344,-3.49344262295082,48.8196721311475,6.65573770491803
"Cynosurus cristatus","Poaceae",18.6814138162456,0.302984810811077,1,0,0.0297457195352967,0.5,1100,-0.74025069637883,39.4428969359331,6.0541922005571
"Dactylis glomerata","Poaceae",16.835064873566,0.740923915883731,0.995300994652137,0.0833187434484068,0.0306097500940023,0.802666666666667,295,-2.68684848484848,48.5766666666667,6.55313939393939
"Daucus carota","Apiaceae",16.0468338062956,0.56102270398191,1,0,0.337623268107659,2.05011111111111,18097.1428571429,-1.82874617737003,49.4159021406728,6.37042813455658
"Deschampsia cespitosa","Poaceae",18.1768296623279,0.432490196246182,1,0.453953163783733,0,0.293972222222222,93883.5833333333,1.99842519685039,15.0157480314961,5.7459842519685
"Echium vulgare","Boraginaceae",19.9632365203382,0.1518627149081,1,0,0,2.267,2133.33333333333,-1.3917445482866,44.2959501557632,6.5591277258567
"Filipendula ulmaria","Rosaceae",16.1644976615413,1,1,0,0.518621638954498,0.8,7282.77777777778,-1.72176258992806,43.2356115107914,6.73368705035971
"Galium mollugo","Rubiaceae",18.4092726380024,0.103107245563583,1,0.116854878305394,0,1.96,10867,-4.36666666666667,51.6041666666667,6.72166666666667
"Galium verum","Rubiaceae",19.5805704115527,0.126717005735834,1,0,0.233722477246095,0.611559259259259,58.35,-3.5571072319202,50.0673316708229,6.61074812967581
"Geranium dissectum","Geraniaceae",15.5,0,1,0.5,0,2.24,336.25,0.539696312364425,38.353579175705,6.09088937093276
"Heracleum sphondylium","Apiaceae",17.3355168553408,0.277077620483733,0.723909898989654,0,0.829257822504424,6.742,5216,-3.98430622009569,50.9014354066986,6.70601913875598
"Holcus lanatus","Poaceae",18.6764473213729,0.724000014038599,0.792828233381102,0,0,0.3,177000,-0.413517665130568,34.6651305683564,5.9107702435813
"Holcus mollis","Poaceae",15.5029239766082,0,1,0,0,1.666,424.375,0.514814814814815,20.1111111111111,5.23111111111111
"Hypochaeris radicata","Compositae",17.6500484958373,0.638725410631079,1,0,0,0.88,1065.25,0.722127659574468,25.6978723404255,5.58957446808511
"Juncus effusus","Juncaceae",19.5742961663833,0.862806741723298,1,0,0.284507736364943,0.031,211694.5,0.29895178197065,21.5702306079665,5.41972746331237
"Lathyrus pratensis","Leguminosae",17.5681836099962,0.0990256009687,1,0.986622599015928,0.172221320653701,12.61725,124,-2.76469072164948,50.7139175257732,6.51979381443299
"Leontodon hispidus","Compositae",25.647355163728,0,1,0,0.347607052896725,1.2,68.5,-0.346808510638298,49.7021276595745,5.9318085106383
"Leucanthemum vulgare","Compositae",20.1220349337129,0,1,0,0,0.42,3573.79,-4.59124087591241,52.5766423357664,6.85328467153285
"Lolium multiflorum","Poaceae",21,0,1,0,0,2.9,1509,-0.819607843137255,42.921568627451,5.78549019607843
"Lotus corniculatus","Leguminosae",19.9634417848692,0.10955555930095,0.983603929900538,0.87206096816329,0,1.08,6328.66666666667,-3.19587020648968,50.0540806293019,6.62621927236971
"Lotus tenuis","Leguminosae",15.5,0,1,1,0,1.3,135,0.613793103448276,20.9310344827586,6.1451724137931
